Temperature_C,Humidity,Soil_Moisture,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Soil_pH,Irrigation_Need
17.46,77.69,53.92,534.56,8.42,3.79,6.0,Low
25.35,75.19,54.19,1653.96,10.71,17.28,5.66,Low
37.27,94.96,11.55,1931.47,4.4,3.99,5.75,Medium
24.29,94.8,55.28,1641.85,4.93,11.86,4.94,Medium
21.74,46.17,53.97,1305.79,10.77,6.67,6.12,Low
25.73,75.49,59.39,15.7,10.78,14.9,6.7,Medium
19.24,92.93,36.08,1511.19,10.24,4.99,7.58,Low
21.72,79.22,26.32,2490.2,8.7,18.04,6.72,Low
26.74,66.69,47.93,1189.59,5.83,15.18,5.64,Low
30.66,94.44,14.79,1332.23,5.46,12.16,5.38,High
39.94,68.59,45.75,142.74,9.85,5.95,8.11,Medium
24.11,92.29,18.03,2058.99,4.34,15.64,7.64,Medium
39.1,31.72,48.69,1852.7,7.35,7.03,4.96,Low
34.54,59.54,21.07,1743.31,5.92,7.04,7.26,Medium
32.12,67.08,46.25,1210.71,4.96,16.9,5.26,Low
25.89,69.91,54.43,1774.93,10.94,6.61,6.25,Low
29.68,70.77,45.33,2117.7,8.02,6.32,5.73,Low
13.0,45.98,31.89,1715.06,9.11,7.22,5.14,Low
17.67,79.07,36.63,1124.03,9.53,15.85,7.97,Medium
29.81,41.11,9.19,209.63,4.53,9.21,7.98,Medium
27.62,25.94,31.69,670.75,8.88,1.81,6.25,Low
31.12,90.89,18.02,1168.34,8.44,8.85,6.63,Medium
31.16,62.22,13.39,1163.42,7.79,16.47,6.87,Medium
21.11,28.95,21.54,1920.66,9.35,17.21,7.02,Low
15.34,32.15,59.22,1247.38,5.1,10.01,4.9,Medium
24.51,80.09,14.97,1218.75,4.32,18.62,5.36,Medium
34.93,91.4,16.55,1459.12,9.72,12.15,6.14,Medium
22.02,72.18,16.46,1269.56,5.52,15.17,6.47,Medium
30.46,89.5,10.79,2376.32,4.97,15.92,7.74,Medium
37.56,76.1,50.13,1885.84,10.79,5.81,5.81,Low
33.72,78.12,8.3,1176.37,6.7,19.78,5.48,Medium
41.82,31.36,62.87,325.94,9.94,12.56,7.28,Low
39.2,52.53,60.12,2259.09,10.88,5.52,7.45,Medium
13.01,86.23,24.27,731.34,5.09,17.97,6.67,Low
41.19,85.63,16.76,255.58,4.94,13.83,5.56,Medium
32.36,82.82,27.08,1697.56,6.9,2.4,7.49,Low
24.26,36.91,22.38,2129.08,9.4,11.49,6.95,Medium
28.01,55.6,63.64,802.45,10.72,3.42,5.02,Low
29.89,75.28,33.47,1603.16,9.91,16.58,5.95,Low
23.07,65.63,29.3,2333.78,7.83,3.16,4.88,Low
30.94,37.12,45.31,2247.95,9.3,4.32,5.48,Medium
20.98,84.09,27.5,1144.57,9.47,16.25,7.37,Low
31.91,26.45,34.65,1813.28,6.03,11.45,5.1,Low
17.0,41.36,33.72,153.52,4.63,5.84,7.24,Low
39.17,26.33,25.22,1042.03,5.05,16.08,5.42,Low
24.44,53.71,25.19,933.4,5.44,17.45,4.86,Medium
36.14,31.69,62.24,1196.31,9.85,9.47,6.53,Low
41.48,59.23,28.18,451.37,5.92,12.61,6.4,Medium
14.36,84.85,26.18,2234.3,7.97,5.32,7.5,Low
28.56,73.47,61.29,749.54,7.91,9.76,7.29,Low
35.93,50.31,44.98,2071.68,5.37,2.85,6.93,Low
15.77,63.91,61.67,525.74,8.69,5.08,5.47,Low
33.06,76.08,8.62,384.71,9.32,5.22,5.1,Medium
25.81,52.81,28.57,718.47,10.79,7.35,8.12,Low
23.15,26.01,15.76,469.17,5.2,10.53,7.77,Low
21.51,43.35,21.78,2013.15,7.12,6.34,5.68,Medium
31.34,25.68,11.55,318.06,8.55,12.66,6.7,Medium
17.3,58.73,59.38,2079.89,5.17,18.91,5.16,Low
35.66,28.22,24.85,2449.34,4.11,11.96,7.08,Medium
34.01,52.41,63.35,2062.53,7.64,4.06,4.98,Low
42.0,46.38,23.31,1498.37,10.33,18.62,8.06,Medium
40.48,78.03,48.69,2111.57,10.67,9.47,5.57,Low
41.87,44.51,42.02,303.54,7.47,9.59,6.01,Low
36.48,33.01,49.74,1372.31,10.84,0.55,8.01,Low
39.82,73.56,64.17,1538.82,4.08,4.02,5.04,Medium
19.56,67.19,39.47,921.57,7.02,13.03,8.15,Low
36.66,51.69,12.53,136.2,4.72,5.48,6.28,Medium
37.97,81.24,29.49,393.78,8.8,16.38,8.2,Low
24.8,86.32,20.46,1692.82,8.46,18.49,7.51,Medium
18.11,43.18,26.1,1416.9,9.44,12.15,6.56,Medium
13.71,39.05,33.93,2471.26,7.59,8.67,6.17,Low
24.73,33.51,18.32,319.9,7.96,17.96,7.31,Low
16.56,82.28,33.33,355.48,4.02,7.88,6.54,Low
24.01,72.35,33.41,2490.03,10.4,1.18,7.36,Low
23.86,80.33,11.34,2113.21,7.25,7.71,6.47,Medium
27.0,50.0,57.68,2436.67,4.99,17.84,6.63,Low
33.09,46.14,44.99,2209.04,4.41,13.3,6.89,Low
13.33,47.07,63.13,2199.56,5.93,5.6,6.13,Low
24.11,77.41,23.26,1475.63,8.53,14.75,7.62,Low
40.94,55.92,19.61,415.9,4.63,9.0,6.68,Medium
12.01,65.61,8.55,1328.76,7.35,13.9,8.05,Low
25.92,25.78,51.69,2171.42,8.78,17.86,6.4,Low
39.05,37.94,14.05,2054.14,7.31,15.61,5.33,Medium
33.54,28.25,10.61,2043.36,9.95,7.52,5.16,Medium
38.5,44.86,26.8,1780.92,8.49,4.53,6.68,Low
35.83,59.12,51.51,183.83,8.93,13.86,5.2,High
35.67,46.32,24.64,1417.61,5.15,6.93,5.25,Medium
17.7,52.08,49.09,1588.05,8.31,17.22,5.39,Low
15.64,38.55,31.7,725.01,8.25,11.07,4.96,Medium
17.86,91.89,40.15,1235.25,10.89,19.77,6.91,Medium
17.78,53.37,25.3,1512.36,7.72,15.62,7.67,Low
15.31,31.25,54.72,1176.65,8.56,2.89,5.61,Low
17.11,85.77,43.64,1757.65,8.09,19.47,7.67,Low
29.85,39.04,32.48,233.34,7.26,13.45,5.66,Low
31.77,64.85,42.03,2422.47,7.67,4.84,5.76,Medium
24.59,61.46,49.49,504.62,8.23,4.76,5.39,Low
29.85,33.12,16.02,2150.77,8.74,10.59,5.28,Medium
26.64,80.47,60.37,71.19,5.48,3.37,6.84,Low
22.63,56.25,12.5,2043.55,6.54,8.5,5.86,Medium
37.5,92.25,26.34,2310.54,5.93,1.58,6.34,Low
29.77,59.87,54.08,2130.99,4.57,5.04,6.32,Low
30.42,50.94,13.3,1119.62,4.15,9.57,5.16,Low
33.32,85.23,8.91,1995.11,4.09,6.77,8.13,Low
33.03,40.23,48.42,894.73,4.88,18.32,5.84,Low
37.31,51.54,39.44,1160.49,8.52,13.03,8.03,Medium
13.16,44.93,21.76,690.72,5.33,17.87,7.44,Medium
19.72,79.23,15.18,38.72,7.58,7.03,6.01,Medium
37.4,69.28,37.54,1872.87,8.52,13.11,6.12,Low
40.64,53.45,26.7,143.17,7.98,18.11,6.33,High
23.51,35.72,10.36,483.38,5.97,4.39,7.85,Low
33.62,27.9,55.49,1487.79,8.33,16.76,5.85,Medium
40.49,80.93,62.01,1008.1,8.62,3.96,6.61,Medium
17.18,61.41,56.33,534.53,8.75,10.09,4.85,Medium
27.97,63.18,33.36,947.82,6.42,4.9,7.9,Low
41.14,65.43,28.88,1484.42,10.55,11.83,5.21,Medium
25.01,60.07,57.33,1566.95,7.78,3.25,6.84,Low
27.86,68.29,52.56,1167.78,10.32,18.38,8.05,Low
12.82,31.85,28.7,1117.19,9.01,12.57,7.12,Low
28.06,41.96,62.6,1694.28,4.96,9.58,6.49,Low
15.83,61.54,11.99,1198.01,7.11,3.23,6.05,Medium
21.93,45.26,28.58,809.38,6.17,19.4,7.48,Low
21.29,62.36,19.94,164.82,10.74,8.89,6.68,Medium
39.07,57.94,49.77,938.26,7.01,5.22,6.78,Low
26.76,57.94,49.54,1458.7,5.14,13.9,4.96,Medium
33.41,49.6,40.59,1017.13,7.89,14.56,6.5,Medium
39.8,30.62,53.96,875.34,7.01,17.49,6.88,Low
33.96,71.22,32.35,2469.66,4.94,9.05,5.22,Low
18.53,38.52,31.88,1027.46,4.19,18.85,6.98,Medium
36.34,40.7,58.57,2336.25,8.46,5.54,6.85,Low
19.62,41.06,45.27,1974.69,9.03,11.0,6.27,Low
17.24,94.78,39.67,637.46,4.61,8.9,6.3,Low
34.77,55.85,35.81,770.89,9.43,4.32,7.26,Low
40.94,25.77,41.62,2066.13,6.2,4.66,7.17,Low
23.39,26.8,48.46,1036.17,8.82,8.7,4.82,Low
41.57,94.64,16.0,126.69,4.88,15.52,6.96,Medium
28.12,74.97,12.36,536.43,8.53,15.27,7.58,Medium
27.6,94.08,59.66,2034.49,6.6,14.4,8.14,Low
23.63,27.14,14.48,380.44,4.53,3.4,5.06,Low
32.74,62.19,18.92,1205.71,7.63,2.97,7.16,Medium
32.51,40.4,45.95,44.92,9.24,19.56,6.34,Medium
29.56,84.92,56.03,1209.31,7.85,9.21,7.9,Low
21.16,25.6,44.24,1847.48,6.43,6.29,8.09,Low
15.02,79.82,35.33,1098.16,6.32,14.47,5.52,Low
16.84,73.93,56.73,1361.26,4.5,3.61,8.02,Low
33.02,78.86,54.73,1608.88,8.24,6.22,6.4,Low
13.18,34.64,64.8,1915.56,9.69,6.25,6.23,Low
31.02,73.45,51.76,1538.58,5.97,19.48,5.78,Medium
21.69,88.09,40.98,1019.51,10.83,7.06,6.14,Low
28.22,93.7,43.09,2339.47,5.18,6.54,5.73,Low
40.32,81.47,56.18,917.32,4.55,2.44,6.4,Low
21.91,43.15,52.85,136.79,4.46,8.27,7.7,Low
40.77,29.78,46.24,1489.13,6.71,19.18,8.07,Medium
39.75,47.92,58.38,1098.06,8.95,6.98,7.49,Medium
32.47,93.15,64.99,1611.82,8.61,10.04,7.77,Medium
32.88,48.15,53.43,2175.12,4.46,2.0,5.48,Low
23.3,47.01,25.39,2070.08,4.54,2.26,7.18,Low
14.03,70.39,44.58,1803.04,4.32,14.03,7.78,Medium
32.16,46.4,41.91,2230.29,5.63,0.7,7.85,Low
27.72,93.12,63.95,896.61,9.27,19.53,7.41,Low
23.58,85.25,12.4,2259.77,9.32,14.05,7.05,Low
13.48,43.46,59.33,1625.66,4.26,18.85,7.56,Medium
12.31,86.07,34.44,2076.86,9.98,18.38,5.19,Low
15.82,72.99,59.33,342.21,5.27,12.07,5.85,Medium
15.83,60.42,47.83,1238.54,7.01,17.93,6.89,Medium
22.95,48.79,41.63,792.27,5.56,4.08,6.34,Low
25.77,44.97,57.93,1173.06,4.87,14.98,6.61,Medium
21.87,29.63,61.47,2433.9,8.0,19.43,6.39,Medium
23.13,53.58,19.38,1215.81,10.99,8.91,6.77,Low
13.9,35.36,63.42,1318.73,10.87,7.42,6.08,Low
38.05,53.88,36.8,2010.11,4.63,4.59,7.58,Medium
26.11,50.78,15.42,1600.36,7.26,5.07,7.81,Medium
27.76,45.38,46.14,1191.36,7.27,7.38,7.58,Low
39.62,28.67,60.31,66.17,4.82,9.64,5.41,Low
30.02,61.29,33.72,960.32,7.17,11.52,5.51,Low
19.25,44.04,57.5,2235.83,7.99,6.17,6.74,Low
20.09,70.71,29.25,674.93,9.7,7.88,5.83,Low
38.6,58.06,49.66,525.14,8.65,8.06,7.92,Low
35.77,30.88,46.34,1547.14,8.41,7.58,7.51,Low
21.01,70.56,46.07,599.66,9.31,6.5,8.07,Low
40.42,76.39,46.97,2476.59,7.27,12.37,7.65,Low
38.46,28.63,37.83,1562.31,4.84,4.38,8.11,Medium
20.73,25.17,22.08,413.85,5.4,10.3,7.23,Medium
30.3,26.88,50.17,2367.42,8.73,10.28,8.07,Medium
36.5,69.43,25.13,1353.47,10.58,8.41,7.21,Low
16.98,28.36,38.65,386.44,4.55,17.15,7.42,Medium
20.14,52.46,16.63,246.55,8.45,12.41,6.0,High
38.93,71.23,42.14,968.08,8.19,19.67,7.44,Medium
22.7,77.33,59.85,2466.81,9.97,19.81,7.33,Low
27.98,48.33,8.73,1397.1,8.88,14.13,5.82,Medium
13.02,50.37,38.42,1254.93,7.8,16.03,7.24,Low
22.45,47.95,27.26,1390.4,8.97,17.58,7.94,Low
15.01,45.62,48.05,1963.66,5.36,12.85,5.84,Medium
37.83,42.58,44.97,1808.68,5.01,7.7,8.2,Low
33.08,71.93,53.91,2285.92,5.48,10.39,5.21,Low
34.23,82.39,24.57,851.47,5.04,19.64,5.9,High
41.32,85.54,35.91,1227.47,6.26,11.31,6.32,Medium
34.57,79.26,46.19,327.11,6.11,18.39,5.05,Low
15.17,56.95,29.14,1907.65,6.76,8.23,5.15,Low
33.76,41.96,31.95,2349.32,8.04,5.56,7.9,Medium
14.36,64.11,14.64,1173.82,7.07,14.9,7.12,Medium
40.12,63.03,47.97,1007.25,5.05,15.44,5.56,Low
27.09,81.94,55.36,1992.42,6.31,19.31,6.28,Low
12.94,54.79,57.94,1604.59,5.54,13.97,7.43,Low
33.48,57.76,61.49,2039.36,8.54,7.1,7.11,Low
35.19,87.68,47.32,1867.4,9.26,3.57,6.67,Medium
16.55,52.61,34.05,2277.85,5.77,10.87,7.64,Low
38.96,31.86,61.39,1504.23,6.01,1.25,8.03,Low
21.52,64.95,52.02,878.6,9.54,15.85,7.03,Low
31.49,25.15,17.29,1318.64,7.33,4.03,5.61,Medium
19.69,46.13,64.81,2493.43,5.83,15.45,6.42,Low
31.61,60.57,38.86,978.06,9.76,18.75,8.01,Medium
15.33,86.26,64.96,853.76,4.61,8.59,4.84,Low
34.17,50.48,62.94,912.71,5.57,13.6,7.81,Medium
26.01,86.22,34.09,2393.49,7.05,9.83,7.23,Low
23.36,43.78,17.02,2410.6,10.79,18.73,5.16,Low
31.27,93.39,37.96,794.76,9.63,16.93,6.67,Medium
21.04,92.03,40.48,935.68,4.55,1.15,6.23,Low
33.62,79.12,40.23,671.22,8.67,1.16,7.2,Low
35.89,94.55,47.74,2318.21,7.09,7.28,6.46,Low
36.62,80.68,56.37,2357.72,9.97,10.11,5.27,Medium
24.1,54.05,36.47,692.24,8.33,13.97,8.03,Low
23.08,83.71,63.75,766.97,8.24,14.77,4.84,Medium
31.43,90.86,30.88,2167.36,5.92,2.92,4.92,Low
12.84,75.67,50.57,1327.55,5.29,7.86,5.42,Low
36.93,49.57,38.74,2118.54,10.42,19.15,6.64,Medium
40.88,77.41,23.44,2175.28,9.33,18.05,4.87,Medium
35.6,29.71,50.75,1987.72,8.93,5.05,5.49,Low
17.89,28.69,64.78,1166.1,9.14,8.37,7.52,Low
30.42,75.47,16.96,1180.28,6.88,8.71,6.51,Low
14.09,53.28,63.26,1133.74,6.59,15.19,7.5,Low
29.67,91.8,45.99,182.32,7.15,1.31,5.33,Low
17.82,51.35,32.89,1775.44,10.24,18.96,7.7,Low
21.95,27.45,44.72,1502.24,9.62,12.43,6.75,Low
14.11,85.94,42.02,1083.36,6.61,1.03,6.4,Low
20.11,43.22,24.58,2316.41,7.64,5.48,4.9,Low
35.2,39.75,41.94,2385.45,5.45,7.62,6.76,Medium
24.66,57.75,47.62,2355.26,5.71,2.96,6.95,Low
29.56,33.68,10.48,1387.87,7.25,7.83,5.23,Low
31.1,37.75,53.79,806.39,8.18,8.05,6.16,Low
34.17,64.1,19.16,745.86,9.26,15.61,5.53,Medium
22.36,29.29,29.24,2105.13,5.97,7.26,5.85,Low
24.38,32.0,51.39,310.2,6.04,7.68,6.65,Low
41.56,91.91,23.16,983.49,5.01,9.18,8.15,Low
19.58,65.61,15.12,1923.35,9.76,19.97,6.17,Medium
26.72,94.12,20.32,503.61,7.53,10.29,7.8,Low
26.2,25.26,38.54,1666.66,7.78,16.09,6.03,Low
20.84,35.99,31.51,1958.37,7.6,2.99,7.71,Low
23.5,88.96,21.35,893.8,10.35,1.17,5.54,Medium
31.12,30.48,18.89,2098.57,8.96,3.06,6.92,Medium
35.52,42.2,39.95,952.9,7.0,19.57,5.41,Low
29.59,44.05,20.04,1528.62,4.93,4.13,7.4,Low
31.34,93.16,15.77,775.19,6.22,18.77,7.39,Medium
21.92,65.34,13.53,798.04,5.62,1.45,8.08,Medium
21.76,48.58,59.04,1143.17,4.82,1.78,6.89,Low
22.29,53.61,23.35,1810.65,6.24,13.76,7.69,Low
16.24,45.79,36.29,986.92,10.14,19.7,6.54,Low
39.5,57.03,60.99,2487.88,9.12,6.52,5.75,Medium
24.29,91.05,53.48,1462.04,8.11,6.27,6.5,Low
21.5,49.01,41.23,1185.97,7.74,4.29,7.41,Low
21.81,62.8,30.3,2499.58,7.09,7.07,8.06,Low
41.56,72.07,41.4,2080.15,6.28,15.62,4.83,Low
22.51,93.2,12.3,1073.26,10.09,14.56,7.54,Medium
25.16,91.86,24.04,1133.22,8.25,1.02,6.22,Low
38.36,58.18,15.58,1983.18,9.97,16.6,8.1,High
23.58,45.36,25.06,1118.32,7.57,5.03,7.52,Low
17.75,73.86,36.78,1925.08,5.52,7.52,6.1,Low
12.39,51.82,63.41,1213.85,4.12,6.13,7.14,Low
40.44,61.42,59.04,1797.85,10.72,17.97,7.51,Low
38.28,25.43,49.67,1352.18,6.77,17.94,7.38,Medium
26.51,76.33,42.04,2479.86,8.61,9.0,8.16,Low
25.63,89.34,24.67,1270.37,8.15,17.34,7.44,Low
12.02,93.71,40.43,2029.03,9.51,3.02,7.56,Low
12.33,92.09,51.36,1109.76,9.01,15.49,5.44,Low
17.27,44.69,52.59,761.63,6.58,18.08,5.96,Low
18.15,66.72,49.34,1840.66,7.75,10.52,6.44,Low
39.94,70.68,28.4,977.91,9.93,10.13,7.9,Medium
18.34,49.19,54.47,2057.97,7.6,9.46,6.92,Low
15.76,79.33,52.68,1686.89,7.81,6.36,5.57,Low
17.01,78.6,39.82,2024.47,7.56,7.83,4.83,Low
20.01,69.28,37.82,626.09,10.26,19.75,5.96,Low
19.69,90.0,21.7,156.89,4.58,18.89,5.63,High
39.41,90.35,53.88,2450.87,4.51,10.53,5.0,Medium
28.55,52.56,53.47,1786.01,6.04,10.37,4.98,Low
15.12,41.4,23.84,913.48,6.7,3.5,6.37,Medium
14.41,33.91,9.74,813.19,8.46,3.33,5.1,Medium
22.46,64.33,63.34,2064.81,4.99,10.95,6.18,Low
21.95,33.24,26.46,81.56,7.22,17.33,6.06,Medium
39.25,41.3,26.52,1296.84,7.35,3.54,5.32,Low
12.36,76.53,21.68,1561.57,10.09,4.29,7.95,Low
40.88,56.41,19.0,1894.49,10.39,11.88,5.95,Medium
17.45,75.61,59.2,1022.84,9.69,12.88,5.96,Low
16.86,55.17,11.5,1849.3,6.78,10.5,5.02,Medium
33.66,84.41,23.45,689.89,6.16,19.62,7.7,Medium
12.32,60.14,57.6,144.65,4.52,17.5,5.37,Medium
21.61,72.9,16.5,677.5,8.78,6.98,7.9,Medium
41.83,27.82,63.74,2084.75,8.85,0.64,7.34,Low
23.24,91.18,34.66,1455.7,10.82,4.36,7.34,Low
34.01,41.45,45.41,526.6,6.56,19.83,6.99,Low
34.98,44.58,63.35,2462.23,10.24,6.96,7.02,Low
19.69,63.32,42.3,1894.47,8.34,12.26,5.24,Low
23.57,33.72,64.34,1873.57,7.74,14.36,6.23,Low
26.34,58.0,28.47,2337.92,4.16,2.14,5.39,Low
30.41,77.58,56.84,1673.25,10.84,12.45,5.25,Medium
28.13,38.77,18.92,2237.6,9.01,13.44,4.98,Low
38.6,27.84,24.89,47.25,8.54,13.65,6.74,High
31.35,57.43,62.9,1141.9,6.93,19.46,7.09,Medium
25.04,75.51,34.6,704.75,4.65,10.06,6.74,Medium
38.69,57.62,27.15,974.0,4.5,6.53,6.39,Low
36.18,90.31,26.49,220.03,8.87,7.57,5.88,Medium
34.62,49.42,59.42,1648.98,9.63,0.86,6.28,Low
24.31,93.08,27.0,2189.41,4.51,14.89,5.11,Low
12.48,88.7,47.84,667.32,10.24,14.32,7.08,Low
19.3,37.93,13.19,1915.18,8.42,10.75,6.9,Medium
33.86,90.89,40.24,2194.64,8.69,2.21,5.89,Medium
33.83,66.7,62.15,1650.97,4.22,2.76,5.99,Low
31.91,35.4,33.22,1530.24,10.23,8.1,6.58,Low
29.16,38.94,64.8,1238.72,10.0,13.38,5.99,Low
41.37,51.59,58.75,650.84,7.18,18.33,6.84,Medium
24.68,67.12,43.57,2265.41,10.75,14.05,7.99,Low
39.52,66.18,43.59,1871.44,9.66,18.43,5.58,Medium
21.94,75.28,62.19,1098.84,7.0,13.81,5.29,Low
34.79,62.29,42.99,1842.26,5.83,2.96,7.18,Low
28.15,87.68,21.74,900.07,8.66,7.94,8.11,Medium
35.65,57.93,26.07,295.48,5.67,2.07,6.48,Medium
13.37,57.46,29.06,1053.88,6.39,6.89,6.32,Low
15.21,72.82,61.51,1800.81,5.41,18.58,8.06,Low
38.55,30.76,17.49,2152.79,5.61,16.96,7.7,High
12.27,43.32,46.73,1718.84,7.18,19.26,5.19,Low
26.38,29.7,17.61,1748.12,9.59,17.27,7.79,Medium
25.97,77.67,20.64,1427.02,9.99,15.42,8.01,Medium
23.45,93.48,63.2,538.45,7.55,13.81,6.46,Low
36.01,40.18,58.27,2222.9,6.89,19.38,7.95,Medium
30.21,59.96,20.0,296.13,10.35,14.32,7.5,High
26.08,60.24,63.96,2461.74,6.91,16.29,7.2,Medium
38.96,76.86,10.81,1877.72,4.46,17.96,6.84,Medium
18.59,88.07,13.01,932.93,5.05,11.66,7.09,Medium
16.18,92.89,11.7,2041.37,8.65,17.54,5.57,Medium
14.07,70.88,34.68,352.59,9.71,2.45,4.9,Low
37.87,81.8,21.45,333.53,10.46,8.67,4.86,Medium
36.28,32.23,52.34,1680.45,7.09,1.86,6.61,Low
18.02,60.01,18.97,2093.7,7.9,3.92,7.78,Low
26.15,35.44,30.66,33.48,7.83,10.0,6.79,Low
12.1,54.95,27.97,2356.87,9.95,15.92,6.46,Low
34.53,29.45,60.75,1428.31,9.92,5.16,6.65,Low
36.19,44.62,19.06,860.77,7.62,17.9,5.73,Medium
25.03,83.57,60.53,1861.17,10.0,2.3,7.29,Low
14.89,34.3,35.61,1654.99,5.94,17.44,6.19,Medium
17.8,57.13,16.42,666.7,7.06,10.56,6.94,Medium
33.68,50.67,48.43,794.68,9.56,17.33,5.47,Medium
26.69,76.68,33.88,579.37,4.21,17.94,5.67,Medium
24.71,49.18,12.29,724.4,9.01,16.22,4.89,Medium
34.98,32.98,40.68,2067.01,6.63,2.42,6.1,Low
17.97,82.34,10.74,857.91,7.85,4.92,6.06,Low
22.37,48.06,57.44,1512.19,5.27,7.32,5.47,Low
30.0,75.69,14.58,816.77,5.35,2.83,6.59,Medium
24.68,92.76,53.44,1958.38,8.95,5.13,5.05,Low
12.36,31.72,44.73,645.12,10.63,6.68,6.38,Low
20.79,77.93,26.79,338.14,8.19,2.89,5.3,Low
13.76,35.27,59.14,1476.4,5.44,17.69,5.66,Low
12.07,79.3,51.14,1003.97,4.28,16.28,5.63,Medium
37.95,39.24,26.65,2304.29,8.63,16.57,7.89,Medium
26.16,35.54,30.35,10.81,4.72,1.79,5.8,Medium
29.27,68.93,18.79,2321.85,5.63,11.57,5.16,Medium
41.51,30.88,47.85,1199.42,8.53,8.32,5.83,Low
29.9,47.38,45.5,717.65,6.66,1.05,5.03,Low
32.79,61.08,11.64,1211.18,8.15,8.71,7.54,Medium
14.51,83.06,46.63,195.72,8.83,11.6,6.45,Low
41.68,86.88,55.64,1376.6,8.1,9.47,7.39,Low
32.9,54.86,21.48,753.18,6.47,8.53,5.04,Medium
32.87,40.86,53.1,1122.11,4.73,16.79,7.26,Low
22.63,55.7,34.56,2476.97,10.26,0.96,4.99,Low
23.54,37.18,44.41,2293.34,7.04,18.02,8.12,Low
20.87,58.65,30.12,1558.01,6.78,17.49,7.17,Low
21.46,81.79,31.16,1883.88,8.89,11.37,6.76,Low
13.52,94.81,48.54,703.41,4.72,7.42,7.03,Low
20.07,38.13,24.88,2241.57,7.48,18.46,5.55,Medium
22.54,41.5,48.63,1185.52,9.84,1.95,7.87,Low
36.88,70.36,45.04,2103.28,5.73,5.04,5.52,Low
30.43,56.51,41.91,709.38,9.44,13.25,6.9,Low
25.52,82.05,11.17,2271.64,9.39,5.9,5.84,Low
41.5,92.7,36.33,745.72,9.3,10.72,7.8,Low
40.25,93.42,62.75,795.45,5.86,9.8,6.56,Low
35.49,33.35,26.93,137.69,6.53,8.31,7.63,Low
22.1,65.99,53.25,124.35,4.84,7.93,6.88,Medium
40.15,75.6,38.37,1571.04,9.81,3.38,7.88,Low
19.39,55.09,13.71,1522.14,8.39,9.62,7.16,Medium
31.57,54.57,33.72,270.03,9.22,10.88,6.06,Medium
